,Entity,Code,emission_type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
113,Tanzania,TZA,gas,1017945.0,1051568.0,1242096.0,1472157.0,1626054.0,1858393.0,1867952.0,1740400.0,1674448.0,1590176.0,1483920.0
114,Thailand,THA,gas,57774867.0,60291120.0,71657927.0,80982885.0,70495360.0,80544620.0,86620624.0,86591312.0,86389792.0,84539472.0,82414352.0
115,Togo,TGO,gas,0.0,0.0,0.0,0.0,14656.0,32976.0,40366.0,73280.0,73280.0,14637.0,0.0
116,Trinidad and Tobago,TTO,gas,39908288.0,38699168.0,39087552.0,42007760.0,41450832.0,40578800.0,41069776.0,41260705.0,39662800.0,35716672.0,34573996.0
117,Tunisia,TUN,gas,8051061.0,8765614.0,9119696.0,11636864.0,11266800.0,12157152.0,12124176.0,12056642.0,11570912.0,11933648.0,12439280.0
118,Turkey,TUR,gas,71984602.0,71543832.0,71354190.0,71640036.0,86019170.0,87081102.0,86683740.0,93527513.0,96419030.0,91841055.0,104739431.0
119,Turkmenistan,TKM,gas,39849664.0,40073168.0,34496560.0,39684784.0,43693200.0,45064646.0,46268992.0,46946832.0,48859440.0,48859440.0,48859440.0
120,Ukraine,UKR,gas,118976501.0,114356227.0,89682260.0,100188028.0,103812444.0,96799239.0,90294586.0,75210273.0,65636991.0,64342886.0,66938776.0
121,United Arab Emirates,ARE,gas,91295888.0,107804765.0,113467908.0,116869687.0,130170928.0,132607488.0,136408469.0,133341677.0,134157360.0,134912144.0,136149565.0
122,United Kingdom,GBR,gas,195667010.0,201598497.0,186812584.0,201029814.0,167501371.0,157648789.0,157069191.0,143921045.0,147267708.0,165114372.0,161655036.0
123,United States,USA,gas,1257701652.0,1267555949.0,1247520364.0,1308649999.0,1327291662.0,1388114410.0,1427471913.0,1455405303.0,1497933045.0,1509030213.0,1491791868.0
124,Uruguay,URY,gas,194192.0,172208.0,120912.0,150224.0,146630.0,106301.0,98928.0,91600.0,95211.0,106316.0,120912.0
125,Uzbekistan,UZB,gas,98524960.0,102570016.0,86129648.0,85198992.0,95132096.0,98245962.0,88314098.0,83583168.0,81942413.0,85473792.0,89086496.0
126,Venezuela,VEN,gas,46734320.0,45026896.0,43726176.0,47683296.0,47877488.0,49742464.0,48511360.0,46646384.0,46434869.0,48755750.0,47824996.0
127,Vietnam,VNM,gas,12479136.0,13901216.0,15374144.0,18048864.0,16279152.0,17957264.0,18719376.0,19598736.0,20463440.0,20368176.0,17876656.0
128,World,OWID_WRL,gas,5710414541.0,5873324221.0,5764761906.0,6206111296.0,6372084290.0,6497148910.0,6540736381.0,6590455787.0,6762248094.0,6939907505.0,7114554348.0
129,Yemen,YEM,gas,0.0,0.0,736464.0,1945584.0,1300720.0,1517199.0,2011536.0,1853984.0,1894288.0,985616.0,1183472.0
0,Afghanistan,AFG,oil,1200064.0,2810288.0,4942736.0,5866064.0,7602800.0,6756416.0,4781520.0,3770256.0,4737552.0,3471576.0,3066768.0
1,Albania,ALB,oil,3374978.0,3795904.0,3414848.0,3491792.0,3773920.0,3154704.0,3330576.0,3855679.0,3337904.0,3362629.0,4100016.0
2,Algeria,DZA,oil,38321776.0,37363066.0,44891328.0,45365398.0,46919745.0,48539284.0,51918880.0,52886176.0,55630512.0,54736496.0,55374032.0
3,Andorra,AND,oil,538608.0,538608.0,516624.0,516624.0,490976.0,487312.0,476320.0,461664.0,465328.0,468992.0,465328.0
4,Angola,AGO,oil,8800928.0,10218896.0,12296384.0,13369936.0,14344560.0,17268432.0,17440640.0,28239777.0,17066912.0,17916960.0,20126352.0
5,Anguilla,AIA,oil,150224.0,150224.0,146560.0,150224.0,142896.0,142896.0,117248.0,139232.0,153888.0,153888.0,142896.0
6,Antarctica,ATA,oil,10992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Antigua and Barbuda,ATG,oil,406704.0,417696.0,443344.0,454336.0,443344.0,458000.0,461664.0,461664.0,479984.0,490976.0,490976.0
8,Argentina,ARG,oil,77951600.0,88657808.0,82381376.0,90145392.0,86908092.0,85587376.0,87505624.0,84332262.0,86913744.0,84510160.0,80859236.0
9,Armenia,ARM,oil,924005.0,1033248.0,952640.0,1007600.0,941648.0,897680.0,853712.0,857948.0,798752.0,806080.0,868368.0
10,Aruba,ABW,oil,2821280.0,2656400.0,2627088.0,2506176.0,2498848.0,1348352.0,861040.0,872032.0,897680.0,883024.0,916000.0
11,Australia,AUS,oil,119473248.0,122327850.0,122369926.0,124560040.0,129808245.0,133683940.0,136185321.0,137607981.0,137343645.0,137092653.0,139652025.0
12,Austria,AUT,oil,36809333.0,35623146.0,34642239.0,34827171.0,33320125.0,32616223.0,33474977.0,32425536.0,33046744.0,34328423.0,34617166.0
13,Azerbaijan,AZE,oil,11455945.0,10607280.0,9240608.0,8694672.0,10264000.0,11640528.0,12065552.0,11633200.0,11728464.0,12348885.0,12450272.0
14,Bahamas,BHS,oil,1791696.0,2355952.0,1604832.0,2385264.0,1799024.0,1905280.0,2879899.0,2359616.0,2037177.0,1791689.0,1967568.0
15,Bahrain,BHR,oil,5759808.0,6554896.0,3671328.0,4114154.0,3891168.0,2462208.0,4554352.0,2341296.0,3979104.0,3740508.0,4291023.0
16,Bangladesh,BGD,oil,10171264.0,9907456.0,9991728.0,10841103.0,13399248.0,14879504.0,13959086.0,15785314.0,14688976.0,15436432.0,18708384.0
17,Barbados,BRB,oil,1176144.0,1432624.0,1447593.0,1330032.0,1381622.0,1341292.0,1319040.0,1164894.0,1157824.0,1179808.0,1066224.0
18,Belarus,BLR,oil,18665708.0,20181199.0,22659622.0,16377563.0,17535437.0,18612226.0,19193163.0,18592671.0,17505727.0,19212325.0,18642567.0
19,Belgium,BEL,oil,55788840.0,55362122.0,51206320.0,51790352.0,48612458.0,47584457.0,47319497.0,46167332.0,48122418.0,47067482.0,46510674.0
20,Belize,BLZ,oil,476320.0,436016.0,516624.0,527541.0,546008.0,443344.0,472656.0,465299.0,637536.0,604560.0,611888.0
21,Benin,BEN,oil,3718960.0,3737280.0,4001088.0,4437104.0,4327184.0,4107344.0,4330848.0,4488923.0,5210208.0,5719504.0,6316260.0
22,Bermuda,BMU,oil,729136.0,648528.0,476320.0,608224.0,443344.0,366400.0,534944.0,670512.0,538608.0,619216.0,630208.0
23,Bhutan,BTN,oil,223504.0,218124.0,241824.0,311440.0,366400.0,437644.0,441473.0,432352.0,450672.0,481493.0,516624.0
24,Bolivia,BOL,oil,7170448.0,7300290.0,7421240.0,7793328.0,8253221.0,10158211.0,9990058.0,10517371.0,10054016.0,10438736.0,11888020.0
25,Bonaire Sint Eustatius and Saba,BES,oil,302377.0,290842.0,297598.0,204990.0,261511.0,311440.0,322432.0,322432.0,326096.0,329760.0,333424.0
26,Bosnia and Herzegovina,BIH,oil,3543088.0,4100016.0,4396800.0,4458316.0,4418784.0,4106665.0,4004752.0,4092688.0,4253904.0,4837295.0,4554352.0
27,Botswana,BWA,oil,2293664.0,2550144.0,2182150.0,2445859.0,2592805.0,2744336.0,2883568.0,3000816.0,2517168.0,2755328.0,2799296.0
28,Brazil,BRA,oil,240021312.0,252796453.0,250940032.0,273660496.0,288902736.0,309274576.0,325722272.0,342471678.0,316868732.0,320992048.0,322512608.0
29,British Virgin Islands,VGB,oil,186864.0,190528.0,190528.0,197856.0,201520.0,201520.0,201520.0,212512.0,212512.0,212512.0,168544.0
30,Brunei,BRN,oil,1846656.0,2055504.0,1754236.0,1590176.0,1956576.0,2065710.0,1656128.0,1689104.0,1645136.0,1803553.0,1927264.0
31,Bulgaria,BGR,oil,12518617.0,11902388.0,11410868.0,11006018.0,10195407.0,10732751.0,9685588.0,10607206.0,11596083.0,11999916.0,12273897.0
32,Burkina Faso,BFA,oil,1579184.0,1553536.0,1612160.0,1810016.0,1905280.0,2366944.0,2638080.0,2755328.0,3195008.0,3264624.0,3821552.0
33,Burundi,BDI,oil,190724.0,194192.0,153888.0,278464.0,329760.0,322990.0,337088.0,332993.0,344857.0,388384.0,490976.0
34,Cambodia,KHM,oil,3418512.0,3510112.0,4180291.0,4678928.0,4704576.0,4902432.0,4865792.0,5027008.0,5557004.0,6430320.0,6587872.0
35,Cameroon,CMR,oil,4572672.0,4330088.0,5580851.0,5682864.0,5657717.0,5162576.0,3939630.0,5496000.0,6180423.0,6231562.0,5389744.0
36,Canada,CAN,oil,267646866.0,258802790.0,254658571.0,260962375.0,263156063.0,266634400.0,266710782.0,259763313.0,260990356.0,258917074.0,262320256.0
37,Cape Verde,CPV,oil,505632.0,468992.0,520288.0,556928.0,615552.0,501968.0,494640.0,487312.0,490976.0,538608.0,578912.0
38,Central African Republic,CAF,oil,252816.0,252816.0,252816.0,263808.0,278464.0,293120.0,285792.0,289456.0,293120.0,296784.0,296784.0
39,Chad,TCD,oil,853712.0,926992.0,941648.0,996608.0,1117520.0,560592.0,586240.0,912336.0,619216.0,916000.0,919664.0
40,Chile,CHL,oil,47225296.0,47551392.0,44929147.0,43460925.0,45627792.0,45164525.0,45915623.0,43819832.0,44350748.0,46063808.0,45466576.0
41,China,CHN,oil,927351072.0,970117280.0,982347712.0,1092571824.0,1123858720.0,1176711920.0,1234621903.0,1263072873.0,1327577623.0,1335304496.0,1390824562.0
42,Christmas Island,CXR,oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Colombia,COL,oil,33019968.0,33441328.0,35734992.0,35698352.0,35340996.0,38913532.0,47985712.0,47599024.0,36911136.0,53124336.0,47489104.0
44,Comoros,COM,oil,102592.0,106256.0,131904.0,161216.0,135568.0,142896.0,175872.0,153888.0,168544.0,201520.0,238160.0
45,Congo,COG,oil,1132176.0,1241844.0,1575520.0,1736736.0,1930928.0,2479945.0,2531824.0,2400753.0,2198400.0,2209392.0,1974896.0
46,Cook Islands,COK,oil,47632.0,47632.0,43968.0,51296.0,58624.0,62288.0,62288.0,65952.0,62288.0,62288.0,69616.0
47,Costa Rica,CRI,oil,6979920.0,7152128.0,6906640.0,6987248.0,6738096.0,6705120.0,7042208.0,7141136.0,6782064.0,7298970.0,7595472.0
48,Cote d'Ivoire,CIV,oil,3649344.0,3554080.0,2729680.0,3026464.0,3348896.0,5074640.0,5778128.0,5957664.0,5547296.0,7023888.0,7547840.0
